CLAS physics database search results
Measurement E131M1
g1c
Michael Dugger
2009

Egamma	cos(theta)	dsigma/dOmega	Data errors
MeV	dimensionless	mcb/sr	mcb/sr
725	-0.45	5.80222	0.15971
725	-0.35	6.54068	0.17766
725	-0.25	6.87205	0.1704
725	-0.15	7.64923	0.21555
725	-0.05	8.07576	0.20566
725	0.05	8.25248	0.21492
725	0.15	9.06601	0.24185
725	0.25	9.44567	0.23156
725	0.35	10.0038	0.23427
725	0.45	10.179	0.2443
725	0.55	10.3704	0.25737
725	0.65	10.6035	0.26204
725	0.75	10.3465	0.25782
725	0.85	9.88593	0.24141
775	-0.45	4.65001	0.12937
775	-0.35	4.88888	0.12432
775	-0.25	5.12035	0.12892
775	-0.15	5.36959	0.16383
775	-0.05	5.29281	0.13203
775	0.05	5.53238	0.16535
775	0.15	5.62336	0.13811
775	0.25	5.92415	0.14407
775	0.35	6.35992	0.1488
775	0.45	6.36169	0.15338
775	0.55	6.61173	0.15854
775	0.65	7.27302	0.18271
775	0.75	7.51471	0.18558
775	0.85	7.61278	0.18402
825	-0.45	3.29503	0.09271
825	-0.35	3.27306	0.08386
825	-0.25	3.21244	0.08149
825	-0.15	3.11946	0.0894
825	-0.05	2.9946	0.07662
825	0.05	3.14666	0.09799
825	0.15	3.21599	0.07965
825	0.25	3.31405	0.07772
825	0.35	3.82021	0.09027
825	0.45	4.06695	0.09959
825	0.55	4.94837	0.1224
825	0.65	5.71113	0.14295
825	0.75	6.4767	0.16186
825	0.85	7.00879	0.16932
875	-0.45	2.98394	0.08465
875	-0.35	2.62173	0.06558
875	-0.25	2.50264	0.06377
875	-0.15	2.446	0.06751
875	-0.05	2.16727	0.05578
875	0.05	2.40009	0.06976
875	0.15	2.45591	0.0601
875	0.25	2.73971	0.06356
875	0.35	3.26842	0.07682
875	0.45	3.92592	0.09702
875	0.55	4.7677	0.1161
875	0.65	5.862	0.14461
875	0.75	6.58547	0.15988
875	0.85	7.00216	0.16893
925	-0.45	2.89761	0.07951
925	-0.35	2.63158	0.06617
925	-0.25	2.39754	0.0647
925	-0.15	2.15719	0.05596
925	-0.05	1.99548	0.05381
925	0.05	2.05622	0.05374
925	0.15	2.39399	0.05878
925	0.25	2.8972	0.0677
925	0.35	3.59041	0.08554
925	0.45	4.47545	0.10918
925	0.55	5.6226	0.13833
925	0.65	6.49506	0.15866
925	0.75	7.46033	0.17811
925	0.85	7.62901	0.18454
975	-0.55	3.11838	0.08602
975	-0.45	3.12613	0.08486
975	-0.35	2.71826	0.06733
975	-0.25	2.42131	0.06972
975	-0.15	2.07539	0.05165
975	-0.05	1.95908	0.05787
975	0.05	2.13296	0.05203
975	0.15	2.52258	0.05959
975	0.25	3.33755	0.07698
975	0.35	4.28515	0.10162
975	0.45	5.4012	0.12796
975	0.55	6.85852	0.16891
975	0.65	8.0357	0.19749
975	0.75	8.54327	0.20324
975	0.85	8.1645	0.19602
1025	-0.55	2.87126	0.08542
1025	-0.45	2.71176	0.07634
1025	-0.35	2.317	0.06087
1025	-0.25	1.94609	0.06168
1025	-0.15	1.69975	0.04655
1025	-0.05	1.83558	0.06403
1025	0.05	1.9359	0.05054
1025	0.15	2.501	0.06245
1025	0.25	3.34163	0.08061
1025	0.35	4.36515	0.10823
1025	0.45	5.67985	0.13829
1025	0.55	7.09359	0.17747
1025	0.65	8.12418	0.20056
1025	0.75	8.83718	0.21399
1025	0.85	8.1829	0.20835
1075	-0.55	1.8905	0.05641
1075	-0.45	1.72127	0.04813
1075	-0.35	1.44069	0.03863
1075	-0.25	1.21167	0.03809
1075	-0.15	1.16717	0.03224
1075	-0.05	1.22201	0.03943
1075	0.05	1.51963	0.03991
1075	0.15	1.91089	0.04605
1075	0.25	2.61803	0.06308
1075	0.35	3.34837	0.08343
1075	0.45	4.51564	0.1106
1075	0.55	5.61947	0.14038
1075	0.65	6.43225	0.15779
1075	0.75	7.07015	0.16913
1075	0.85	6.39387	0.15952
1125	-0.55	0.97829	0.0302
1125	-0.45	0.86052	0.02455
1125	-0.35	0.78527	0.02257
1125	-0.25	0.69053	0.02176
1125	-0.15	0.74711	0.02217
1125	-0.05	0.82418	0.02503
1125	0.05	1.04119	0.02745
1125	0.15	1.30492	0.03181
1125	0.25	1.69767	0.04187
1125	0.35	2.13055	0.05317
1125	0.45	2.86538	0.07132
1125	0.55	3.66167	0.09192
1125	0.65	4.3742	0.10715
1125	0.75	5.06719	0.12116
1175	-0.55	0.62842	0.02277
1175	-0.45	0.50874	0.01692
1175	-0.35	0.46745	0.016
1175	-0.25	0.5158	0.01782
1175	-0.15	0.53589	0.01839
1175	-0.05	0.62128	0.02016
1175	0.05	0.73971	0.02082
1175	0.15	0.91176	0.02345
1175	0.25	1.15387	0.03003
1175	0.35	1.45217	0.03811
1175	0.45	1.97479	0.05074
1175	0.55	2.60757	0.06687
1175	0.65	3.37125	0.08406
1175	0.75	3.97673	0.09587
1225	-0.55	0.4884	0.01832
1225	-0.45	0.40439	0.01318
1225	-0.35	0.41647	0.01519
1225	-0.25	0.44379	0.01427
1225	-0.15	0.46526	0.01722
1225	-0.05	0.55571	0.01668
1225	0.05	0.65045	0.01809
1225	0.15	0.70108	0.01808
1225	0.25	0.89704	0.02353
1225	0.35	1.1626	0.03026
1225	0.45	1.61437	0.04228
1225	0.55	2.22066	0.0566
1225	0.65	2.87134	0.07048
1225	0.75	3.6143	0.08862
1275	-0.55	0.45071	0.01348
1275	-0.45	0.36422	0.00988
1275	-0.35	0.37464	0.01195
1275	-0.25	0.41203	0.01109
1275	-0.15	0.44201	0.01451
1275	-0.05	0.50073	0.01294
1275	0.05	0.53803	0.01327
1275	0.15	0.61623	0.01489
1275	0.25	0.71418	0.01765
1275	0.35	0.94859	0.02317
1275	0.45	1.36954	0.03412
1275	0.55	1.90652	0.04642
1275	0.65	2.62614	0.06252
1275	0.75	3.26059	0.07709
1325	-0.55	0.46878	0.01473
1325	-0.45	0.38179	0.0109
1325	-0.35	0.38165	0.01323
1325	-0.25	0.38875	0.0111
1325	-0.15	0.43296	0.01524
1325	-0.05	0.47539	0.01291
1325	0.05	0.46722	0.01194
1325	0.15	0.51988	0.01329
1325	0.25	0.60526	0.01585
1325	0.35	0.85982	0.02185
1325	0.45	1.27197	0.0323
1325	0.55	1.74138	0.04287
1325	0.65	2.37167	0.0561
1325	0.75	3.03097	0.0725
1375	-0.55	0.49059	0.01502
1375	-0.45	0.42553	0.01212
1375	-0.35	0.39117	0.01298
1375	-0.25	0.41767	0.01196
1375	-0.15	0.43081	0.01449
1375	-0.05	0.42812	0.01175
1375	0.05	0.43414	0.0111
1375	0.15	0.47961	0.01234
1375	0.25	0.57761	0.01529
1375	0.35	0.78395	0.02028
1375	0.45	1.16552	0.02975
1375	0.55	1.63115	0.04044
1375	0.65	2.19696	0.05224
1375	0.75	2.78762	0.06783
1425	-0.55	0.50775	0.01537
1425	-0.45	0.44734	0.01268
1425	-0.35	0.40536	0.013
1425	-0.25	0.38484	0.01132
1425	-0.15	0.39129	0.01281
1425	-0.05	0.40436	0.01122
1425	0.05	0.40843	0.01058
1425	0.15	0.45457	0.01192
1425	0.25	0.53802	0.01438
1425	0.35	0.74797	0.01961
1425	0.45	1.04203	0.02688
1425	0.55	1.44015	0.0354
1425	0.65	1.93871	0.046
1425	0.75	2.48375	0.06148
1475	-0.55	0.5232	0.01559
1475	-0.45	0.44127	0.01264
1475	-0.35	0.37992	0.01222
1475	-0.25	0.36208	0.0111
1475	-0.15	0.37244	0.01151
1475	-0.05	0.37011	0.0103
1475	0.05	0.38428	0.00999
1475	0.15	0.42833	0.01137
1475	0.25	0.49466	0.0131
1475	0.35	0.70518	0.01864
1475	0.45	0.9589	0.02484
1475	0.55	1.31319	0.03255
1475	0.65	1.70588	0.04052
1475	0.75	2.12148	0.05243
1525	-0.55	0.47841	0.01442
1525	-0.45	0.40214	0.01191
1525	-0.35	0.35985	0.01157
1525	-0.25	0.33334	0.01105
1525	-0.15	0.31438	0.00968
1525	-0.05	0.3282	0.0093
1525	0.05	0.3461	0.00918
1525	0.15	0.39628	0.01066
1525	0.25	0.48919	0.01299
1525	0.35	0.69094	0.01854
1525	0.45	0.8777	0.02293
1525	0.55	1.1297	0.0281
1525	0.65	1.46413	0.03508
1525	0.75	1.83084	0.04558
1575	-0.75	0.45173	0.01824
1575	-0.65	0.46271	0.01366
1575	-0.55	0.41425	0.01131
1575	-0.45	0.36806	0.01023
1575	-0.35	0.31547	0.00877
1575	-0.25	0.29005	0.0091
1575	-0.15	0.28131	0.00757
1575	-0.05	0.2899	0.00737
1575	0.05	0.30696	0.00758
1575	0.15	0.36849	0.00929
1575	0.25	0.45561	0.0113
1575	0.35	0.59719	0.01509
1575	0.45	0.77711	0.0194
1575	0.55	0.95956	0.02327
1575	0.65	1.21411	0.02854
1575	0.75	1.56476	0.03839
1625	-0.75	0.39427	0.01578
1625	-0.65	0.40083	0.01202
1625	-0.55	0.35156	0.00964
1625	-0.45	0.32924	0.00949
1625	-0.35	0.29899	0.00817
1625	-0.25	0.27093	0.0089
1625	-0.15	0.25304	0.00672
1625	-0.05	0.26436	0.00671
1625	0.05	0.29135	0.00721
1625	0.15	0.33898	0.00854
1625	0.25	0.42676	0.01061
1625	0.35	0.56833	0.01446
1625	0.45	0.69642	0.01729
1625	0.55	0.83959	0.02011
1625	0.65	1.0582	0.02487
1625	0.75	1.32236	0.03204
1675	-0.75	0.33219	0.01267
1675	-0.65	0.33262	0.01008
1675	-0.55	0.30742	0.00845
1675	-0.45	0.29002	0.00882
1675	-0.35	0.25868	0.007
1675	-0.25	0.24331	0.00802
1675	-0.15	0.23618	0.00627
1675	-0.05	0.24832	0.00619
1675	0.05	0.27627	0.00689
1675	0.15	0.32168	0.00825
1675	0.25	0.41132	0.01036
1675	0.35	0.51726	0.01314
1675	0.45	0.62401	0.01553
1675	0.55	0.76052	0.01824
1675	0.65	0.9289	0.02197
1675	0.75	1.27424	0.03147
1725	-0.65	0.26959	0.00849
1725	-0.55	0.23811	0.00658
1725	-0.45	0.2326	0.00738
1725	-0.35	0.22687	0.00626
1725	-0.25	0.2165	0.00715
1725	-0.15	0.21977	0.00592
1725	-0.05	0.22697	0.0057
1725	0.05	0.25554	0.0064
1725	0.15	0.2998	0.00774
1725	0.25	0.393	0.00998
1725	0.35	0.49558	0.0126
1725	0.45	0.57868	0.01437
1725	0.55	0.6933	0.01653
1725	0.65	0.87858	0.0211
1775	-0.65	0.21715	0.00916
1775	-0.55	0.20347	0.00713
1775	-0.45	0.21916	0.00885
1775	-0.35	0.21071	0.00742
1775	-0.25	0.21321	0.0091
1775	-0.15	0.21557	0.00714
1775	-0.05	0.21502	0.00654
1775	0.05	0.24543	0.00749
1775	0.15	0.29068	0.00901
1775	0.25	0.37194	0.011
1775	0.35	0.47214	0.01366
1775	0.45	0.57039	0.01573
1775	0.55	0.64347	0.01673
1775	0.65	0.83545	0.0215
1825	-0.65	0.16178	0.0078
1825	-0.55	0.1727	0.00655
1825	-0.45	0.18198	0.00799
1825	-0.35	0.19889	0.00746
1825	-0.25	0.1958	0.00846
